"","term","step","estimate","lambda","dev.ratio"
"1","Townsend_deprivation_Groups_0_04",1,0.123164106602291,0.00144891026554827,0.0444259454100414
"2","Sex1",1,0.0250759060396227,0.00144891026554827,0.0444259454100414
"3","family_history_of_dementia1",1,0.222155410845112,0.00144891026554827,0.0444259454100414
"4","Diabetes_BIN_FINAL_0_01",1,0.530047863214718,0.00144891026554827,0.0444259454100414
"5","current_history_depression1",1,0.374105119722297,0.00144891026554827,0.0444259454100414
"6","stroke_TIA_BIN_FINAL1",1,0.610589868548224,0.00144891026554827,0.0444259454100414
"7","household_occupancy1",1,0.00973202766514396,0.00144891026554827,0.0444259454100414
"8","hypertensive1",1,0.105376271796127,0.00144891026554827,0.0444259454100414
"9","cholesterol1",1,0.0949878255568462,0.00144891026554827,0.0444259454100414
"10","Age_when_attended_assesment_centre_0_0",1,0.880455593475858,0.00144891026554827,0.0444259454100414
"11","education_years",1,-0.0639177649794748,0.00144891026554827,0.0444259454100414
