"","coef","exp(coef)","se(coef)","z","p-value","2.5%","97.5%"
"Age_when_attended_assesment_centre_0_0",0.183970644979205,1.20198053841471,0.0055841824877325,32.9449557537486,0,1.18889683579179,1.21520822600687
"family_history_of_dementia1",0.32476842583806,1.38371017735137,0.0491318158934332,6.6101449729129,3.8e-11,1.25667813179172,1.52358333169681
"education_years",-0.0383496766100552,0.962376361543965,0.00749363243535153,-5.11763513101323,3.1e-07,0.948344992967123,0.976615333161471
"Diabetes_BIN_FINAL_0_01",0.529530544064499,1.69813492194585,0.068860728903301,7.68987712587391,1.5e-14,1.48374010122919,1.94350898162226
"Townsend_deprivation_Groups_0_01",-0.0766572689764079,0.926207239169588,0.068321541316796,-1.12200731275895,0.26,0.810126371468792,1.05892102775869
"Townsend_deprivation_Groups_0_02",-0.0377024242266824,0.962999463568057,0.067757300029596,-0.556433391091649,0.58,0.843239470458656,1.09976821451201
"Townsend_deprivation_Groups_0_03",-0.00399517369427498,0.996012796394653,0.0680862772168938,-0.0586781045694136,0.95,0.871585053086673,1.13820388161618
"Townsend_deprivation_Groups_0_04",0.235901509809486,1.26604961055879,0.0653010833677804,3.61252061441111,3e-04,1.11395164983112,1.43891489064097
"current_history_depression1",0.562230274804497,1.75458133833568,0.0538517537679718,10.4403336096898,0,1.57882796412439,1.94989938282679
"stroke_TIA_BIN_FINAL1",0.612567091982896,1.84516202484876,0.0930267000183713,6.58485243335434,4.6e-11,1.53762360405158,2.21421086992481
"hypertensive1",0.190005466407646,1.20925620792657,0.0473735116774701,4.01079547788747,6.1e-05,1.10203127406638,1.32691386426195
"cholesterol1",0.022123262331353,1.02236979638863,0.0519515828059483,0.425843855691341,0.67,0.923393351544943,1.13195530249261
"household_occupancy1",0.127522987028888,1.13601098145828,0.0514281108828641,2.47963584194921,0.013,1.02708607746208,1.25648762875129
"household_occupancy2",-0.0108170960528888,0.989241198349235,0.0636967121528604,-0.169821890130368,0.87,0.873139137025214,1.12078145053206
"Sex1",0.159769970963938,1.17324096046217,0.0436762192303029,3.65805405732299,0.00025,1.07698573643291,1.27809896151947
"APOE_genotype_bin1",1.1284610152188,3.09089599599451,0.0424202562720957,26.6019377153342,0,2.84430525940185,3.35886523658997
