"","Predictor","beta","lower","upper","OR","p","FDR_BH"
"1",NA,NA,NA,NA,NA,NA,NA
"2","(Intercept)","-15.91675","-16.483","-15.358","0 [0, 0]","0",0
"3","Age_when_attended_assesment_centre_0_0","0.19039","0.182","0.199","1.21 [1.2, 1.22]","0",0
"4","(Intercept)","-15.08586","-15.706","-14.473","0 [0, 0]","0",0
"5","Age_when_attended_assesment_centre_0_0","0.17975","0.171","0.189","1.2 [1.19, 1.21]","0",0
"6","family_history_of_dementia1","0.41211","0.325","0.498","1.51 [1.38, 1.65]","7.40345074398556e-21",1.70279367111668e-20
"7","education_years","-0.04383","-0.056","-0.032","0.96 [0.95, 0.97]","3.71900654330797e-12",5.70247669973889e-12
"8","Townsend_deprivation_modelvar1","0.24527","0.159","0.33","1.28 [1.17, 1.39]","1.78409147810373e-08",2.56463149977411e-08
"9","Diabetes_BIN_FINAL_0_01","0.54865","0.431","0.664","1.73 [1.54, 1.94]","2.83078280578999e-20",5.91890950301543e-20
"10","current_history_depression1","0.53177","0.439","0.623","1.7 [1.55, 1.86]","7.69077164330567e-30",2.21109684745038e-29
"11","stroke_TIA_BIN_FINAL1","0.68224","0.523","0.837","1.98 [1.69, 2.31]","1.53211349447012e-17",2.93655086440106e-17
"12","hypertensive1","0.17816","0.097","0.259","1.2 [1.1, 1.3]","1.74836034313757e-05",1.98726047294169e-05
"13","cholesterol1","0.1233","0.035","0.211","1.13 [1.04, 1.24]","0.00618178463814776",0.00646277484897266
"14","(Intercept)","-16.15349","-16.887","-15.43","0 [0, 0]","0",0
"15","Age_when_attended_assesment_centre_0_0","0.18906","0.179","0.2","1.21 [1.2, 1.22]","4.0680337033042e-269",1.55941291959994e-268
"16","family_history_of_dementia1","0.28544","0.185","0.385","1.33 [1.2, 1.47]","2.29014354725674e-08",3.09842950511206e-08
"17","education_years","-0.03902","-0.053","-0.025","0.96 [0.95, 0.98]","9.45368363438556e-08",1.1443932820572e-07
"18","Townsend_deprivation_modelvar1","0.27702","0.177","0.376","1.32 [1.19, 1.46]","5.09031626236267e-08",6.50429300190785e-08
"19","Diabetes_BIN_FINAL_0_01","0.54845","0.407","0.687","1.73 [1.5, 1.99]","1.89345234178285e-14",3.34995414315427e-14
"20","current_history_depression1","0.5365","0.428","0.643","1.71 [1.53, 1.9]","1.77629824307922e-22",4.53942884342467e-22
"21","stroke_TIA_BIN_FINAL1","0.68577","0.494","0.87","1.99 [1.64, 2.39]","8.76423158801845e-13",1.43983804660303e-12
"22","hypertensive1","0.20689","0.112","0.301","1.23 [1.12, 1.35]","1.81445521442502e-05",1.98726047294169e-05
"23","cholesterol1","0.04029","-0.062","0.142","1.04 [0.94, 1.15]","0.440209535553022",0.440209535553022
"24","APOE_genotype_bin1","1.16081","1.075","1.247","3.19 [2.93, 3.48]","1.06049762888333e-155",3.48449220918808e-155
