"","Predictor","beta","lower","upper","OR","p","FDR_BH"
"1",NA,NA,NA,NA,NA,NA,NA
"2","(Intercept)","-15.08586","-15.706","-14.473","0 [0, 0]","0",0
"3","Age_when_attended_assesment_centre_0_0","0.17975","0.171","0.189","1.2 [1.19, 1.21]","0",0
"4","family_history_of_dementia1","0.41211","0.325","0.498","1.51 [1.38, 1.65]","7.40345074398556e-21",1.94340582029621e-20
"5","education_years","-0.04383","-0.056","-0.032","0.96 [0.95, 0.97]","3.71900654330797e-12",6.00762595457441e-12
"6","Townsend_deprivation_modelvar1","0.24527","0.159","0.33","1.28 [1.17, 1.39]","1.78409147810373e-08",2.6761372171556e-08
"7","Diabetes_BIN_FINAL_0_01","0.54865","0.431","0.664","1.73 [1.54, 1.94]","2.83078280578999e-20",6.60515988017664e-20
"8","current_history_depression1","0.53177","0.439","0.623","1.7 [1.55, 1.86]","7.69077164330567e-30",2.69177007515698e-29
"9","stroke_TIA_BIN_FINAL1","0.68224","0.523","0.837","1.98 [1.69, 2.31]","1.53211349447012e-17",3.21743833838725e-17
"10","hypertensive1","0.17816","0.097","0.259","1.2 [1.1, 1.3]","1.74836034313757e-05",2.00545050015397e-05
"11","cholesterol1","0.1233","0.035","0.211","1.13 [1.04, 1.24]","0.00618178463814776",0.00649087387005515
"12","(Intercept)","-16.15349","-16.887","-15.43","0 [0, 0]","0",0
"13","Age_when_attended_assesment_centre_0_0","0.18906","0.179","0.2","1.21 [1.2, 1.22]","4.0680337033042e-269",2.1357176942347e-268
"14","family_history_of_dementia1","0.28544","0.185","0.385","1.33 [1.2, 1.47]","2.29014354725674e-08",3.20620096615944e-08
"15","education_years","-0.03902","-0.053","-0.025","0.96 [0.95, 0.98]","9.45368363438556e-08",1.16780797836528e-07
"16","Townsend_deprivation_modelvar1","0.27702","0.177","0.376","1.32 [1.19, 1.46]","5.09031626236267e-08",6.681040094351e-08
"17","Diabetes_BIN_FINAL_0_01","0.54845","0.407","0.687","1.73 [1.5, 1.99]","1.89345234178285e-14",3.61477265249453e-14
"18","current_history_depression1","0.5365","0.428","0.643","1.71 [1.53, 1.9]","1.77629824307922e-22",5.32889472923766e-22
"19","stroke_TIA_BIN_FINAL1","0.68577","0.494","0.87","1.99 [1.64, 2.39]","8.76423158801845e-13",1.53374052790323e-12
"20","hypertensive1","0.20689","0.112","0.301","1.23 [1.12, 1.35]","1.81445521442502e-05",2.00545050015397e-05
"21","cholesterol1","0.04029","-0.062","0.142","1.04 [0.94, 1.15]","0.440209535553022",0.440209535553022
"22","APOE_genotype_bin1","1.16081","1.075","1.247","3.19 [2.93, 3.48]","1.06049762888333e-155",4.45409004130999e-155
