"","Predictor","beta","lower","upper","OR","p","FDR_BH"
"1",NA,NA,NA,NA,NA,NA,NA
"2","(Intercept)","-15.75188","-16.689","-14.83","0 [0, 0]","8.11708053118484e-242",8.92878858430333e-241
"3","Age_when_attended_assesment_centre_0_0","0.19185","0.178","0.205","1.21 [1.2, 1.23]","6.80362019874469e-171",4.98932147907944e-170
"4","family_history_of_dementia1","0.42005","0.293","0.545","1.52 [1.34, 1.72]","7.02424545923996e-11",1.71703777892532e-10
"5","education_years","-0.05916","-0.079","-0.04","0.94 [0.92, 0.96]","3.19832667003892e-09",5.86359889507135e-09
"6","Townsend_deprivation_modelvar1","0.2859","0.159","0.411","1.33 [1.17, 1.51]","8.43318997140412e-06",1.32521556693493e-05
"7","Diabetes_BIN_FINAL_0_01","0.61116","0.406","0.81","1.84 [1.5, 2.25]","2.85742204690196e-09",5.71484409380392e-09
"8","current_history_depression1","0.56848","0.443","0.692","1.77 [1.56, 2]","3.72532938035815e-19",1.63914492735759e-18
"9","stroke_TIA_BIN_FINAL1","0.4241","0.128","0.702","1.53 [1.14, 2.02]","0.00373557644078653",0.00483427539395904
"10","Antihypertensive_meds_0_01","0.06691","-0.063","0.195","1.07 [0.94, 1.22]","0.308526247767649",0.323217973851823
"11","statins_0_01","0.08481","-0.065","0.233","1.09 [0.94, 1.26]","0.264514368626488",0.306279795251723
"12","Aspirin_0_01","0.24507","0.093","0.395","1.28 [1.1, 1.48]","0.00145836352721269",0.00200524984991745
"13","(Intercept)","-14.26531","-15.098","-13.446","0 [0, 0]","3.46287645185698e-251",7.61832819408536e-250
"14","Age_when_attended_assesment_centre_0_0","0.1673","0.155","0.179","1.18 [1.17, 1.2]","8.88662418541315e-162",4.88764330197723e-161
"15","family_history_of_dementia1","0.4156","0.296","0.533","1.52 [1.34, 1.7]","5.51958510976048e-12",1.51788590518413e-11
"16","education_years","-0.03674","-0.053","-0.021","0.96 [0.95, 0.98]","6.72351703655924e-06",1.1378259600331e-05
"17","Townsend_deprivation_modelvar1","0.21682","0.099","0.332","1.24 [1.1, 1.39]","0.000258441120487193",0.00037904697671455
"18","Diabetes_BIN_FINAL_0_01","0.47765","0.331","0.621","1.61 [1.39, 1.86]","1.08699331767238e-10",2.39138529887924e-10
"19","current_history_depression1","0.5596","0.418","0.697","1.75 [1.52, 2.01]","3.42392444316115e-15",1.25543896249242e-14
"20","stroke_TIA_BIN_FINAL1","0.75127","0.556","0.939","2.12 [1.74, 2.56]","1.48129817997397e-14",4.65550856563248e-14
"21","Antihypertensive_meds_0_01","0.16025","0.043","0.277","1.17 [1.04, 1.32]","0.0074090510479627",0.00905550683639886
"22","statins_0_01","0.06012","-0.066","0.185","1.06 [0.94, 1.2]","0.34792620661387",0.34792620661387
"23","Aspirin_0_01","0.06522","-0.057","0.187","1.07 [0.94, 1.21]","0.296165172806882",0.323217973851823
